Ubicaciones,Tipo ubicación,Hecho Victimizante,Tipo Hecho,Afectación,Tipo Afectación,Temporalidad,Tipo Temporalidad,Entidades,Tipo Entidad
luruaco,municipio,,,,,,,oea,organizaciones
malambo,municipio,,,,,,,asociación de victimas,organizaciones
manatí,municipio,,,,,,,comité de derechos humanos,organizaciones
piojó,municipio,,,,,,,empresa minera,organizaciones
polonuevo,municipio,,,,,,,empresas comunitarias,organizaciones
sabanagrande,municipio,,,,,,,federal de estados unidos,organizaciones
sabanalarga,municipio,,,,,,,estado colombiano,organizaciones
santa lucía,municipio,,,,,,,secretaría de asuntos indígenas,organizaciones
santo tomás,municipio,,,,,,,museo itinerante de la memoria,organizaciones
soledad,municipio,,,,,,,,
suan,municipio,,,,,,,,
tubará,municipio,,,,,,,,
usiacurí,municipio,,,,,,,,
achí,municipio,,,,,,,,
arenal,municipio,,,,,,,,
arjona,municipio,,,,,,,,
arroyohondo,municipio,,,,,,,,
calamar,municipio,,,,,,,,
cantagallo,municipio,,,,,,,,
cicuco,municipio,,,,,,,,
córdoba,municipio,,,,,,,,
clemencia,municipio,,,,,,,,
el guamo,municipio,,,,,,,,
magangué,municipio,,,,,,,,
mahates,municipio,,,,,,,,
margarita,municipio,,,,,,,,
montecristo,municipio,,,,,,,,
mompós,municipio,,,,,,,,
morales,municipio,,,,,,,,
norosí,municipio,,,,,,,,
pinillos,municipio,,,,,,,,
regidor,municipio,,,,,,,,
río viejo,municipio,,,,,,,,
san estanislao,municipio,,,,,,,,
san fernando,municipio,,,,,,,,
san juan nepomuceno,municipio,,,,,,,,
santa catalina,municipio,,,,,,,,
santa rosa,municipio,,,,,,,,
simití,municipio,,,,,,,,
soplaviento,municipio,,,,,,,,
talaigua nuevo,municipio,,,,,,,,
tiquisio,municipio,,,,,,,,
turbaco,municipio,,,,,,,,
turbaná,municipio,,,,,,,,
villanueva,municipio,,,,,,,,
tunja,municipio,,,,,,,,
almeida,municipio,,,,,,,,
aquitania,municipio,,,,,,,,
arcabuco,municipio,,,,,,,,
berbeo,municipio,,,,,,,,
betéitiva,municipio,,,,,,,,
boavita,municipio,,,,,,,,
boyacá,municipio,,,,,,,,
briceño,municipio,,,,,,,,
buena vista,municipio,,,,,,,,
busbanzá,municipio,,,,,,,,
caldas,municipio,,,,,,,,
campohermoso,municipio,,,,,,,,
cerinza,municipio,,,,,,,,
chinavita,municipio,,,,,,,,
chiquinquirá,municipio,,,,,,,,
chiscas,municipio,,,,,,,,
chita,municipio,,,,,,,,
chitaraque,municipio,,,,,,,,
chivatá,municipio,,,,,,,,
cómbita,municipio,,,,,,,,
coper,municipio,,,,,,,,
corrales,municipio,,,,,,,,
covarachía,municipio,,,,,,,,
cubará,municipio,,,,,,,,
cucaita,municipio,,,,,,,,
cuítiva,municipio,,,,,,,,
chíquiza,municipio,,,,,,,,
chivor,municipio,,,,,,,,
duitama,municipio,,,,,,,,
el cocuy,municipio,,,,,,,,
el espino,municipio,,,,,,,,
firavitoba,municipio,,,,,,,,
floresta,municipio,,,,,,,,
gachantivá,municipio,,,,,,,,
gameza,municipio,,,,,,,,
garagoa,municipio,,,,,,,,
guacamayas,municipio,,,,,,,,
guateque,municipio,,,,,,,,
guayatá,municipio,,,,,,,,
güicán,municipio,,,,,,,,
iza,municipio,,,,,,,,
jenesano,municipio,,,,,,,,
jericó,municipio,,,,,,,,
labranzagrande,municipio,,,,,,,,
la capilla,municipio,,,,,,,,
la victoria,municipio,,,,,,,,
macanal,municipio,,,,,,,,
maripí,municipio,,,,,,,,
miraflores,municipio,,,,,,,,
mongua,municipio,,,,,,,,
monguí,municipio,,,,,,,,
moniquirá,municipio,,,,,,,,
muzo,municipio,,,,,,,,
nobsa,municipio,,,,,,,,
nuevo colón,municipio,,,,,,,,
oicatá,municipio,,,,,,,,
otanche,municipio,,,,,,,,
pachavita,municipio,,,,,,,,
páez,municipio,,,,,,,,
paipa,municipio,,,,,,,,
pajarito,municipio,,,,,,,,
panqueba,municipio,,,,,,,,
pauna,municipio,,,,,,,,
paya,municipio,,,,,,,,
pesca,municipio,,,,,,,,
pisba,municipio,,,,,,,,
puerto boyacá,municipio,,,,,,,,
quípama,municipio,,,,,,,,
ramiriquí,municipio,,,,,,,,
ráquira,municipio,,,,,,,,
rondón,municipio,,,,,,,,
saboyá,municipio,,,,,,,,
sáchica,municipio,,,,,,,,
samacá,municipio,,,,,,,,
san eduardo,municipio,,,,,,,,
san mateo,municipio,,,,,,,,
santana,municipio,,,,,,,,
santa maría,municipio,,,,,,,,
santa sofía,municipio,,,,,,,,
sativanorte,municipio,,,,,,,,
sativasur,municipio,,,,,,,,
siachoque,municipio,,,,,,,,
soatá,municipio,,,,,,,,
socotá,municipio,,,,,,,,
socha,municipio,,,,,,,,
sogamoso,municipio,,,,,,,,
somondoco,municipio,,,,,,,,
sora,municipio,,,,,,,,
sotaquirá,municipio,,,,,,,,
soracá,municipio,,,,,,,,
susacón,municipio,,,,,,,,
sutamarchán,municipio,,,,,,,,
sutatenza,municipio,,,,,,,,
tasco,municipio,,,,,,,,
tenza,municipio,,,,,,,,
tibaná,municipio,,,,,,,,
tinjacá,municipio,,,,,,,,
tipacoque,municipio,,,,,,,,
toca,municipio,,,,,,,,
tópaga,municipio,,,,,,,,
tota,municipio,,,,,,,,
turmequé,municipio,,,,,,,,
tutazá,municipio,,,,,,,,
umbita,municipio,,,,,,,,
ventaquemada,municipio,,,,,,,,
viracachá,municipio,,,,,,,,
zetaquira,municipio,,,,,,,,
manizales,municipio,,,,,,,,
aguadas,municipio,,,,,,,,
anserma,municipio,,,,,,,,
aranzazu,municipio,,,,,,,,
belalcázar,municipio,,,,,,,,
chinchiná,municipio,,,,,,,,
filadelfia,municipio,,,,,,,,
la dorada,municipio,,,,,,,,
la merced,municipio,,,,,,,,
manzanares,municipio,,,,,,,,
marmato,municipio,,,,,,,,
marulanda,municipio,,,,,,,,
neira,municipio,,,,,,,,
norcasia,municipio,,,,,,,,
pácora,municipio,,,,,,,,
palestina,municipio,,,,,,,,
pensilvania,municipio,,,,,,,,
riosucio,municipio,,,,,,,,
risaralda,municipio,,,,,,,,
salamina,municipio,,,,,,,,
samaná,municipio,,,,,,,,
san josé,municipio,,,,,,,,
supía,municipio,,,,,,,,
victoria,municipio,,,,,,,,
villamaría,municipio,,,,,,,,
viterbo,municipio,,,,,,,,
florencia,municipio,,,,,,,,
albania,municipio,,,,,,,,
curillo,municipio,,,,,,,,
el doncello,municipio,,,,,,,,
el paujil,municipio,,,,,,,,
morelia,municipio,,,,,,,,
puerto rico,municipio,,,,,,,,
solano,municipio,,,,,,,,
solita,municipio,,,,,,,,
valparaíso,municipio,,,,,,,,
popayán,municipio,,,,,,,,
almaguer,municipio,,,,,,,,
argelia,municipio,,,,,,,,
balboa,municipio,,,,,,,,
bolívar,municipio,,,,,,,,
buenos aires,municipio,,,,,,,,
cajibío,municipio,,,,,,,,
caldono,municipio,,,,,,,,
caloto,municipio,,,,,,,,
corinto,municipio,,,,,,,,
el tambo,municipio,,,,,,,,
florencia,municipio,,,,,,,,
guachené,municipio,,,,,,,,
guapi,municipio,,,,,,,,
inzá,municipio,,,,,,,,
jambaló,municipio,,,,,,,,
la sierra,municipio,,,,,,,,
la vega,municipio,,,,,,,,
lópez,municipio,,,,,,,,
